"","County_Name","Date","Deaths","fhwa_numbe","fips","Positive","Negative","Recoveries","Total_Tests","Active_Cases","pop_5yr_est_2018","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:2","Arkansas",2021-01-30,36,1,1,1770,17746,1566,19627,168,18124,1194,576,13078,4668,1082,484,28,8,84,84,14272,5355,1194,13078,687,4668,1881,17746,14,16,0,152,9.77,107.68,7.72,46.35,9.07,9.21,1602,2.25,97.75,16662,2859
"1:3","Ashley",2021-01-30,27,3,3,1637,12994,1516,14679,94,20537,1348,289,11952,1042,1259,257,22,5,67,27,13300,1379,1348,11952,337,1042,1685,12994,13,7,0,135,7.97,71.24,6.33,32.62,11.19,9.63,1543,1.75,98.25,12860,1772
"1:4","Baxter",2021-01-30,94,5,5,2629,16342,2417,19003,118,41219,1813,816,14407,1935,1681,736,57,37,75,43,16220,2783,1813,14407,848,1935,2661,16342,25,17,0,217,6.38,46.02,6.07,18.2,13.86,11.52,2511,3.74,96.26,15175,3798
"1:5","Benton",2021-01-30,345,7,7,25025,169416,23225,195414,1453,258980,19158,5867,158393,11023,17902,5323,250,95,1004,449,177551,17863,19158,158393,6840,11023,25998,169416,116,133,0,1015,9.66,75.08,4.48,38.77,12.87,11.43,23570,1.46,98.54,177417,17038
"1:6","Boone",2021-01-30,74,9,9,3329,27230,2999,30697,255,37288,2531,798,24604,2626,2339,660,62,12,129,126,27135,3562,2531,24604,936,2626,3467,27230,24,18,0,345,8.93,81.95,6.44,34.6,10.89,6.96,3073,2.41,97.59,26916,3653
"1:7","Bradley",2021-01-30,29,11,11,1247,9086,1161,10364,57,10948,937,310,5918,3168,882,279,16,13,39,18,6855,3509,937,5918,341,3168,1278,9086,10,13,0,36,11.39,94.38,9.13,35.62,12.07,27.78,1190,2.44,97.56,7973,2360
"1:8","Calhoun",2021-01-30,2,13,13,344,3298,297,3663,45,5202,263,81,2990,308,231,66,2,0,30,15,3253,410,263,2990,102,308,365,3298,3,1,0,25,6.61,70.01,5.77,57.67,9.45,12,299,0.67,99.33,3069,573
"1:9","Carroll",2021-01-30,39,15,15,2575,16913,2391,19539,145,27887,2195,380,16362,551,2049,342,35,4,111,34,18557,982,2195,16362,431,551,2626,16913,21,11,0,176,9.23,69.88,7.53,39.8,13.21,11.93,2430,1.6,98.4,15093,4396
"1:10","Chicot",2021-01-30,38,17,17,1551,12536,1481,14117,32,10826,1416,135,9771,2765,1356,125,35,3,25,7,11187,2930,1416,9771,165,2765,1581,12536,1,3,0,40,14.33,130.12,0.92,23.09,11.01,2.5,1519,2.5,97.5,11468,2619
"1:11","Clark",2021-01-30,34,19,19,1831,21625,1655,23532,142,22385,1506,325,18189,3436,1358,297,29,5,119,23,19695,3837,1506,18189,401,3436,1907,21625,11,17,0,105,8.18,104.78,4.91,53.16,7.81,10.48,1689,2.01,97.99,20927,2529
"1:12","Clay",2021-01-30,41,21,21,1562,14831,1465,16439,55,15061,1191,371,10952,3879,1127,338,29,12,34,21,12143,4296,1191,10952,417,3879,1608,14831,3,6,0,83,10.37,108.84,1.99,22.57,9.53,3.61,1506,2.72,97.28,14921,1472
"1:13","Cleburne",2021-01-30,59,23,23,1753,18204,1580,20047,114,25230,1257,496,14467,3737,1142,438,44,15,71,43,15724,4323,1257,14467,586,3737,1843,18204,12,4,0,174,6.95,79.1,4.76,28.14,8.78,6.9,1639,3.6,96.4,18605,1355
"1:14","Cleveland",2021-01-30,23,25,25,791,7886,677,8714,91,8226,513,278,6841,1045,445,232,18,5,50,41,7354,1360,513,6841,315,1045,828,7886,11,3,0,49,9.62,105.48,13.37,60.78,9.12,22.45,700,3.29,96.71,4699,3978
"1:15","Columbia",2021-01-30,50,27,27,1926,16931,1767,19030,109,23892,1210,716,13050,3881,1132,635,33,17,45,64,14260,4770,1210,13050,889,3881,2099,16931,20,5,0,117,8.06,78.93,8.37,18.83,10.21,17.09,1817,2.75,97.25,15626,3235
"1:16","Conway",2021-01-30,27,29,29,1974,17838,1793,19885,154,20906,1557,417,14900,2938,1408,385,23,4,126,28,16457,3428,1557,14900,490,2938,2047,17838,16,12,0,85,9.44,94.77,7.65,60.27,9.96,18.82,1820,1.48,98.52,15342,4470
"1:17","Craighead",2021-01-30,166,31,31,12123,94918,11479,107345,477,105701,10614,1509,81937,12981,10090,1389,148,18,375,102,92551,14794,10614,81937,1813,12981,12427,94918,41,43,1,755,11.47,101.27,3.88,35.48,11.33,5.43,11645,1.43,98.57,98765,8351
"1:18","Crawford",2021-01-30,89,33,33,6163,55022,5660,61297,413,62472,5049,1114,52493,2529,4664,996,77,12,307,106,57542,3755,5049,52493,1226,2529,6275,55022,45,47,0,207,9.87,97.94,7.2,49.14,10.07,21.74,5749,1.55,98.45,55036,6153
"1:19","Crittenden",2021-01-30,84,35,35,5358,33422,5066,38926,206,49013,5022,336,31380,2042,4767,299,73,11,180,26,36402,2524,5022,31380,482,2042,5504,33422,31,27,0,155,10.93,79.12,6.32,36.72,13.82,20,5150,1.63,98.37,33877,4971
